# assets/sample_roster.csv
player_id,name,role_today,energy_today,off_pos_1,off_pos_2,def_pos_1,def_pos_2,notes
1,Alex Carter,steady/reliable,High,QB,WR,LCB,S,
2,Blake Diaz,confident/impactful,Medium,HB,AB,OLB1,MLB,
3,Casey Ellis,newer/learning,High,LG,RG,DT2,NT,
4,Drew Fox,steady/reliable,Medium,WR,Slot,LCB,RCB,
5,Emery Gray,confident/impactful,High,LT,LG,LDE,DT1,
6,Fin Hayes,newer/learning,Medium,TE,WR,LB_SAM,LB_MIKE,needs reps
7,Gabe Irwin,steady/reliable,Low,AB,HB,OLB2,OLB1,
8,Harper Jones,newer/learning,Medium,C,LG,NT,DT2,
9,Izzy Kim,steady/reliable,High,RG,RT,DT1,DT2,
10,Jordan Lee,confident/impactful,High,WR,Slot,LCB,RCB,
11,Kai Miller,steady/reliable,Medium,RT,RG,RDE,LDE,
12,Lane Novak,newer/learning,High,AB,HB,MLB,OLB1,
13,Morgan Ortiz,newer/learning,Medium,HB,AB,DT2,NT,
14,Nico Park,steady/reliable,Low,LG,C,DT1,RDE,
15,Owen Quinn,confident/impactful,Medium,QB,WR,LCB,S,
16,Parker Reed,newer/learning,Medium,TE,HB,LB_WILL,LB_SAM,
17,Quinn Shaw,steady/reliable,High,WR,Slot,RCB,LCB,
18,Riley Tran,newer/learning,Medium,C,RG,NT,DT2,
19,Sky Underwood,steady/reliable,High,LT,LG,LDE,DT1,
20,Tate Vega,confident/impactful,High,HB,AB,MLB,OLB1,
21,Uma Wyatt,newer/learning,Low,Slot,WR,S,LCB,
22,Vic Xu,steady/reliable,Medium,RG,RT,DT1,DT2,
