Name,Off1,Off2,Off3,Off4,Def1,Def2,Def3,Def4
Alex Quinn,QB,WR,Slot,TE,RC,S,LC,RLB
Brooke Lee,HB,WR,Slot,AB,LLB,MLB,LMLB,LOLB
Chris Park,LT,LG,RT,C,LDE,RDE,LDT,RDT
Dev Patel,RG,RT,C,LG,NT,LDT,RDT,MLB
Evan Gray,WR,Slot,TE,HB,RC,S,LC,RLB
Faith Tran,AB,HB,WR,Slot,LOLB,ROLB,LMLB,RMLB
Gabe Diaz,C,RG,LG,RT,NT,LDT,RDT,MLB
Hana Kim,LG,LT,RG,C,LDE,RDE,LDT,RDT
Ivy Cruz,TE,WR,Slot,HB,LC,S,RC,RLB
Jalen Fox,RT,RG,LT,C,RDE,LDE,RDT,LDT
Kara Ngo,WR,Slot,HB,AB,LC,RC,S,LLB
Leo Moss,HB,AB,WR,Slot,MLB,LLB,RLB,LMLB
Maya Iqbal,Slot,WR,HB,TE,S,RC,LC,LOLB
Nico Yu,LT,LG,C,RG,LDT,RDT,LDE,RDE
Owen Reed,LG,C,RG,RT,RDT,LDT,NT,MLB
Pia Soto,WR,Slot,TE,HB,RC,LC,S,ROLB
Quinn Roy,HB,AB,WR,Slot,RLB,LLB,MLB,RMLB
Rey Cole,AB,HB,Slot,WR,ROLB,LOLB,RMLB,LMLB
Sage Zhu,C,RG,LG,RT,NT,LDT,RDT,MLB
Tess Wu,TE,WR,Slot,HB,S,LC,RC,LLB
Uma Rao,LT,LG,RT,C,LDE,RDE,LDT,RDT
Vik Shah,RG,RT,LG,C,RDT,LDT,NT,MLB
Will Poe,QB,WR,TE,Slot,LC,RC,S,LLB
